COMPARISON BETWEEN DIJKSTRA AND A*
----------------------------------
825.7059132177282 km, 97 (dijkstra), 21 (a*)
518.4546846592564 km, 295 (dijkstra), 23 (a*)
4011.857933003435 km, 970 (dijkstra), 301 (a*)
716.4463776413165 km, 464 (dijkstra), 48 (a*)
993.3014145998019 km, 555 (dijkstra), 41 (a*)
784.8212490522425 km, 310 (dijkstra), 17 (a*)
2889.9965585552577 km, 534 (dijkstra), 153 (a*)
1455.6194974473121 km, 807 (dijkstra), 250 (a*)
493.80904058909255 km, 53 (dijkstra), 13 (a*)
1977.40688591111 km, 801 (dijkstra), 521 (a*)
1890.1799432870562 km, 582 (dijkstra), 197 (a*)
247.28639079486504 km, 62 (dijkstra), 10 (a*)
1496.2693295420702 km, 507 (dijkstra), 96 (a*)
1310.2819621843541 km, 765 (dijkstra), 141 (a*)
1395.2730599143265 km, 518 (dijkstra), 120 (a*)
1516.2098487551823 km, 634 (dijkstra), 173 (a*)
418.8594003536156 km, 279 (dijkstra), 103 (a*)
2821.967625249462 km, 1169 (dijkstra), 433 (a*)
2303.2776007859816 km, 893 (dijkstra), 244 (a*)
3522.983210079947 km, 1163 (dijkstra), 465 (a*)
1451.1981632339352 km, 558 (dijkstra), 110 (a*)
2637.689298240178 km, 1118 (dijkstra), 418 (a*)
313.58158671876987 km, 129 (dijkstra), 33 (a*)
3697.2799329480845 km, 1141 (dijkstra), 233 (a*)
2922.5484236162742 km, 899 (dijkstra), 381 (a*)
511.18549141552097 km, 387 (dijkstra), 151 (a*)
4191.5545260632625 km, 466 (dijkstra), 122 (a*)
2992.1703747626175 km, 770 (dijkstra), 229 (a*)
2368.019550465319 km, 557 (dijkstra), 119 (a*)
376.0816732243198 km, 38 (dijkstra), 6 (a*)
752.497186420087 km, 426 (dijkstra), 35 (a*)
2478.594153606454 km, 543 (dijkstra), 182 (a*)
1029.9593098657656 km, 741 (dijkstra), 152 (a*)
867.1079316509195 km, 473 (dijkstra), 89 (a*)
2838.2019793162526 km, 545 (dijkstra), 178 (a*)
546.379668452973 km, 258 (dijkstra), 45 (a*)
2029.9750206749243 km, 884 (dijkstra), 323 (a*)
2498.98093702506 km, 124 (dijkstra), 29 (a*)
2523.524467498408 km, 681 (dijkstra), 204 (a*)
2481.079489831912 km, 673 (dijkstra), 163 (a*)
2033.4734356591375 km, 455 (dijkstra), 81 (a*)
662.8347389659525 km, 35 (dijkstra), 15 (a*)
875.7661084835684 km, 83 (dijkstra), 19 (a*)
606.355581262161 km, 284 (dijkstra), 86 (a*)
543.0472434144749 km, 89 (dijkstra), 29 (a*)
881.684446878294 km, 537 (dijkstra), 107 (a*)
650.1531384437372 km, 366 (dijkstra), 47 (a*)
970.1608557124738 km, 578 (dijkstra), 142 (a*)
659.4873199626344 km, 92 (dijkstra), 21 (a*)
2103.611864188859 km, 305 (dijkstra), 57 (a*)
453.8917924778389 km, 244 (dijkstra), 18 (a*)
4562.440485900115 km, 537 (dijkstra), 232 (a*)
1270.8816342749096 km, 719 (dijkstra), 106 (a*)
425.4438084905863 km, 259 (dijkstra), 63 (a*)
1004.243816971794 km, 435 (dijkstra), 157 (a*)
2237.5857485003216 km, 1086 (dijkstra), 178 (a*)
476.08229992854336 km, 267 (dijkstra), 15 (a*)
4447.829135586221 km, 1179 (dijkstra), 429 (a*)
2820.3452322239973 km, 1023 (dijkstra), 358 (a*)
388.9266702981923 km, 149 (dijkstra), 74 (a*)
2728.8879799549536 km, 1081 (dijkstra), 131 (a*)
937.4169586977702 km, 477 (dijkstra), 74 (a*)
3085.9568983323024 km, 866 (dijkstra), 297 (a*)
1305.634031381779 km, 679 (dijkstra), 237 (a*)
1578.630939888445 km, 632 (dijkstra), 230 (a*)
1729.9993881399716 km, 867 (dijkstra), 122 (a*)
525.9116122363583 km, 171 (dijkstra), 11 (a*)
3401.719476413335 km, 1127 (dijkstra), 333 (a*)
499.9367398557798 km, 211 (dijkstra), 28 (a*)
2070.944955914935 km, 1029 (dijkstra), 405 (a*)
1050.8492139089292 km, 779 (dijkstra), 202 (a*)
866.2351764581371 km, 564 (dijkstra), 108 (a*)
